Main Group,Food Category,year,value
Milk products exc. cheese,Milk and milk products excluding cheese,2011,1904
Cheese,Cheese,2011,118
Meat,Carcase meat,2011,204
Meat,Non-carcase meat and meat products,2011,794
Fish,Fish,2011,147
Eggs,Eggs,2011,2
Fats,Fats,2011,170
Sugar and preserves,Sugar and preserves,2011,126
Potatoes,Fresh and processed potatoes,2011,746
Potatoes,Processed potatoes,2011,250
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2011,1090
Fruit,Fresh fruit,2011,764
Fruit,Processed fruit and fruit products,2011,385
Bread,White bread,2011,259
Bread,Brown and wholemeal bread,2011,175
Flour,Flour,2011,71
"Cakes, buns and pastries","Cakes, buns and pastries",2011,151
Biscuits,Biscuits and crispbreads,2011,164
Other cereals and cereal products,Other cereals and cereal products,2011,547
Tea and Coffee,Beverages,2011,53
Other food and drink,Other food and drink,2011,726
Soft drinks,Soft drinks,2011,1630
Confectionery,Confectionery,2011,134
Alcoholic drinks,Alcoholic drinks,2011,728
Milk products exc. cheese,Milk and milk products excluding cheese,2012,1901
Cheese,Cheese,2012,114
Meat,Carcase meat,2012,196
Meat,Non-carcase meat and meat products,2012,793
Fish,Fish,2012,144
Eggs,Eggs,2012,2
Fats,Fats,2012,178
Sugar and preserves,Sugar and preserves,2012,124
Potatoes,Fresh and processed potatoes,2012,724
Potatoes,Processed potatoes,2012,246
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2012,1086
Fruit,Fresh fruit,2012,744
Fruit,Processed fruit and fruit products,2012,362
Bread,White bread,2012,266
Bread,Brown and wholemeal bread,2012,158
Flour,Flour,2012,73
"Cakes, buns and pastries","Cakes, buns and pastries",2012,149
Biscuits,Biscuits and crispbreads,2012,160
Other cereals and cereal products,Other cereals and cereal products,2012,542
Tea and Coffee,Beverages,2012,53
Other food and drink,Other food and drink,2012,776
Soft drinks,Soft drinks,2012,1633
Confectionery,Confectionery,2012,126
Alcoholic drinks,Alcoholic drinks,2012,700
Milk products exc. cheese,Milk and milk products excluding cheese,2013,1847
Cheese,Cheese,2013,118
Meat,Carcase meat,2013,182
Meat,Non-carcase meat and meat products,2013,766
Fish,Fish,2013,146
Eggs,Eggs,2013,2
Fats,Fats,2013,171
Sugar and preserves,Sugar and preserves,2013,123
Potatoes,Fresh and processed potatoes,2013,682
Potatoes,Processed potatoes,2013,242
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2013,1102
Fruit,Fresh fruit,2013,744
Fruit,Processed fruit and fruit products,2013,370
Bread,White bread,2013,247
Bread,Brown and wholemeal bread,2013,156
Flour,Flour,2013,57
"Cakes, buns and pastries","Cakes, buns and pastries",2013,150
Biscuits,Biscuits and crispbreads,2013,165
Other cereals and cereal products,Other cereals and cereal products,2013,549
Tea and Coffee,Beverages,2013,52
Other food and drink,Other food and drink,2013,778
Soft drinks,Soft drinks,2013,1664
Confectionery,Confectionery,2013,128
Alcoholic drinks,Alcoholic drinks,2013,694
Milk products exc. cheese,Milk and milk products excluding cheese,2014,1849
Cheese,Cheese,2014,111
Meat,Carcase meat,2014,195
Meat,Non-carcase meat and meat products,2014,760
Fish,Fish,2014,144
Eggs,Eggs,2014,2
Fats,Fats,2014,158
Sugar and preserves,Sugar and preserves,2014,109
Potatoes,Fresh and processed potatoes,2014,671
Potatoes,Processed potatoes,2014,240
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2014,1080
Fruit,Fresh fruit,2014,766
Fruit,Processed fruit and fruit products,2014,330
Bread,White bread,2014,222
Bread,Brown and wholemeal bread,2014,150
Flour,Flour,2014,52
"Cakes, buns and pastries","Cakes, buns and pastries",2014,147
Biscuits,Biscuits and crispbreads,2014,162
Other cereals and cereal products,Other cereals and cereal products,2014,560
Tea and Coffee,Beverages,2014,52
Other food and drink,Other food and drink,2014,787
Soft drinks,Soft drinks,2014,1546
Confectionery,Confectionery,2014,130
Alcoholic drinks,Alcoholic drinks,2014,675
Milk products exc. cheese,Milk and milk products excluding cheese,2015,1827
Cheese,Cheese,2015,112
Meat,Carcase meat,2015,187
Meat,Non-carcase meat and meat products,2015,742
Fish,Fish,2015,146
Eggs,Eggs,2015,2
Fats,Fats,2015,162
Sugar and preserves,Sugar and preserves,2015,106
Potatoes,Fresh and processed potatoes,2015,675
Potatoes,Processed potatoes,2015,246
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2015,1103
Fruit,Fresh fruit,2015,773
Fruit,Processed fruit and fruit products,2015,319
Bread,White bread,2015,221
Bread,Brown and wholemeal bread,2015,143
Flour,Flour,2015,61
"Cakes, buns and pastries","Cakes, buns and pastries",2015,155
Biscuits,Biscuits and crispbreads,2015,164
Other cereals and cereal products,Other cereals and cereal products,2015,566
Tea and Coffee,Beverages,2015,53
Other food and drink,Other food and drink,2015,815
Soft drinks,Soft drinks,2015,1531
Confectionery,Confectionery,2015,132
Alcoholic drinks,Alcoholic drinks,2015,678
Milk products exc. cheese,Milk and milk products excluding cheese,2016,1807
Cheese,Cheese,2016,115
Meat,Carcase meat,2016,192
Meat,Non-carcase meat and meat products,2016,745
Fish,Fish,2016,144
Eggs,Eggs,2016,2
Fats,Fats,2016,162
Sugar and preserves,Sugar and preserves,2016,107
Potatoes,Fresh and processed potatoes,2016,675
Potatoes,Processed potatoes,2016,247
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2016,1117
Fruit,Fresh fruit,2016,780
Fruit,Processed fruit and fruit products,2016,313
Bread,White bread,2016,222
Bread,Brown and wholemeal bread,2016,143
Flour,Flour,2016,63
"Cakes, buns and pastries","Cakes, buns and pastries",2016,154
Biscuits,Biscuits and crispbreads,2016,166
Other cereals and cereal products,Other cereals and cereal products,2016,565
Tea and Coffee,Beverages,2016,53
Other food and drink,Other food and drink,2016,829
Soft drinks,Soft drinks,2016,1522
Confectionery,Confectionery,2016,134
Alcoholic drinks,Alcoholic drinks,2016,675
Milk products exc. cheese,Milk and milk products excluding cheese,2017,1818
Cheese,Cheese,2017,124
Meat,Carcase meat,2017,175
Meat,Non-carcase meat and meat products,2017,778
Fish,Fish,2017,139
Eggs,Eggs,2017,2
Fats,Fats,2017,139
Sugar and preserves,Sugar and preserves,2017,107
Potatoes,Fresh and processed potatoes,2017,634
Potatoes,Processed potatoes,2017,239
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2017,1137
Fruit,Fresh fruit,2017,814
Fruit,Processed fruit and fruit products,2017,316
Bread,White bread,2017,199
Bread,Brown and wholemeal bread,2017,150
Flour,Flour,2017,55
"Cakes, buns and pastries","Cakes, buns and pastries",2017,150
Biscuits,Biscuits and crispbreads,2017,169
Other cereals and cereal products,Other cereals and cereal products,2017,562
Tea and Coffee,Beverages,2017,54
Other food and drink,Other food and drink,2017,855
Soft drinks,Soft drinks,2017,1608
Confectionery,Confectionery,2017,130
Alcoholic drinks,Alcoholic drinks,2017,712
Milk products exc. cheese,Milk and milk products excluding cheese,2018,1786
Cheese,Cheese,2018,125
Meat,Carcase meat,2018,182
Meat,Non-carcase meat and meat products,2018,775
Fish,Fish,2018,139
Eggs,Eggs,2018,2
Fats,Fats,2018,158
Sugar and preserves,Sugar and preserves,2018,99
Potatoes,Fresh and processed potatoes,2018,669
Potatoes,Processed potatoes,2018,248
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2018,1134
Fruit,Fresh fruit,2018,784
Fruit,Processed fruit and fruit products,2018,312
Bread,White bread,2018,202
Bread,Brown and wholemeal bread,2018,136
Flour,Flour,2018,75
"Cakes, buns and pastries","Cakes, buns and pastries",2018,159
Biscuits,Biscuits and crispbreads,2018,160
Other cereals and cereal products,Other cereals and cereal products,2018,582
Tea and Coffee,Beverages,2018,49
Other food and drink,Other food and drink,2018,884
Soft drinks,Soft drinks,2018,1508
Confectionery,Confectionery,2018,137
Alcoholic drinks,Alcoholic drinks,2018,728
Milk products exc. cheese,Milk and milk products excluding cheese,2019,1840
Cheese,Cheese,2019,123
Meat,Carcase meat,2019,168
Meat,Non-carcase meat and meat products,2019,794
Fish,Fish,2019,146
Eggs,Eggs,2019,2
Fats,Fats,2019,161
Sugar and preserves,Sugar and preserves,2019,93
Potatoes,Fresh and processed potatoes,2019,620
Potatoes,Processed potatoes,2019,241
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2019,1139
Fruit,Fresh fruit,2019,787
Fruit,Processed fruit and fruit products,2019,319
Bread,White bread,2019,198
Bread,Brown and wholemeal bread,2019,137
Flour,Flour,2019,48
"Cakes, buns and pastries","Cakes, buns and pastries",2019,151
Biscuits,Biscuits and crispbreads,2019,159
Other cereals and cereal products,Other cereals and cereal products,2019,589
Tea and Coffee,Beverages,2019,52
Other food and drink,Other food and drink,2019,1000
Soft drinks,Soft drinks,2019,1642
Confectionery,Confectionery,2019,136
Alcoholic drinks,Alcoholic drinks,2019,712
Milk products exc. cheese,Milk and milk products excluding cheese,2020,1746
Cheese,Cheese,2020,129
Meat,Carcase meat,2020,170
Meat,Non-carcase meat and meat products,2020,779
Fish,Fish,2020,148
Eggs,Eggs,2020,2
Fats,Fats,2020,158
Sugar and preserves,Sugar and preserves,2020,87
Potatoes,Fresh and processed potatoes,2020,612
Potatoes,Processed potatoes,2020,256
Vegetables exc. Potatoes,"Fresh and processed vegetables, excluding potatoes",2020,1147
Fruit,Fresh fruit,2020,767
Fruit,Processed fruit and fruit products,2020,312
Bread,White bread,2020,194
Bread,Brown and wholemeal bread,2020,133
Flour,Flour,2020,54
"Cakes, buns and pastries","Cakes, buns and pastries",2020,163
Biscuits,Biscuits and crispbreads,2020,173
Other cereals and cereal products,Other cereals and cereal products,2020,607
Tea and Coffee,Beverages,2020,56
Other food and drink,Other food and drink,2020,934
Soft drinks,Soft drinks,2020,1658
Confectionery,Confectionery,2020,144
Alcoholic drinks,Alcoholic drinks,2020,728
